eis2,65.30.116.72,EIS,4852868.4852868.4852864 0,TWGS,No,No,Thu Feb 23 01:17:11 2006
eis2,65.30.116.72,Epic Interactive Strategy,4852604.1.4(null),TWGS,No,No,Fri Feb 24 00:17:18 2006
eis2,65.30.116.72,Epic Interactive Strategy,4852604.1.4(null),TWGS,No,No,Fri Feb 24 00:24:43 2006
eis2,65.30.116.72,Epic Interactive Strategy,4852592.1.4(null),TWGS,No,No,Fri Feb 24 00:25:33 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 00:56:45 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,Unknown,No,No,Sun Feb 26 01:02:28 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,Unknown,No,No,Sun Feb 26 01:03:01 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:02:32 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:07:57 2006
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:16:33 2006,Testing
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:17:23 2006,Testing
BECKERMAN_NEW,192.168.1.100,Zev's TWXSync Server,1.0.3,twgs,No,No,Sun Feb 26 14:22:41 2006,Testing
BECKERMAN_NEW,192.168.1.100,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Mar 14 22:47:08 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun Mar 26 23:17:26 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun Mar 26 23:17:26 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun Mar 26 23:59:34 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Mar 27 00:02:01 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Mar 27 00:02:13 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Mar 27 00:02:27 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Mar 29 00:49:49 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Mar 29 00:52:15 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Mar 29 01:02:41 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 03 22:08:14 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 00:15:25 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:13:41 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:17:05 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:21:57 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:24:17 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Tue Apr 04 23:26:00 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun Apr 09 14:58:47 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun Apr 09 15:22:55 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 21:09:09 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 21:09:43 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 21:15:02 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 21:17:57 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 21:19:33 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 22:29:14 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 22:41:29 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 23:16:30 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon Apr 24 23:17:04 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Apr 26 23:10:02 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Apr 26 23:12:58 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Apr 26 23:14:00 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed Apr 26 23:14:56 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Fri Apr 28 02:01:59 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed May 10 23:33:33 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Fri May 12 01:08:37 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Fri May 12 01:08:42 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sat May 13 22:49:52 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sat May 13 22:49:55 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon May 15 00:14:17 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Mon May 15 20:19:52 2006,Testing
zev-server,192.168.1.101,Unknown,1.1.40,TWGS,No,No,Tue May 16 23:39:01 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed May 17 20:56:51 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed May 17 22:48:19 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed May 17 22:50:32 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Wed May 17 22:51:45 2006,Testing
eis2,192.168.0.104,Epic Interactive Strategy,1.1.40,TWGS,No,No,Thu May 18 22:58:52 2006,Testing
eis2,192.168.0.104,Epic Interactive Strategy,1.1.40,TWGS,No,No,Thu May 18 23:01:23 2006,Testing
eis2,192.168.0.104,Epic Interactive Strategy,1.1.40,TWGS,No,No,Thu May 18 23:05:58 2006,Testing
eis2,192.168.0.104,Epic Interactive Strategy,1.1.40,TWGS,No,No,Thu May 18 23:07:38 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sat May 20 23:58:50 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun May 21 00:03:15 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun May 21 00:31:13 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun May 21 07:50:59 2006,Testing
BECKERMAN_NEW,192.168.1.102,Nik's Trade Wars 2002 Heaven,1.1.40,TWGS,No,No,Sun May 21 07:51:49 2006,Testing
BECKERMAN,192.168.1.100,ATTAC Tradewars Helper,1.1.40,TWGS,No,No,Wed Aug 30 23:08:20 2006,Testing
BECKERMAN,192.168.1.100,ATTAC Tradewars Helper,1.1.40,TWGS,No,No,Wed Aug 30 23:09:10 2006,Testing
BECKERMAN,192.168.1.100,ATTAC Development Team Jumpgate BETA,1.1.43,TWGS,No,No,Tue Oct 03 23:40:43 2006,MANUAL
BECKERMAN,192.168.1.100,ATTAC Development Team Jumpgate BETA,1.1.43,TWGS,No,No,Tue Oct 03 23:52:28 2006,MANUAL
BECKERMAN,192.168.1.100,ATTAC Development Team Jumpgate BETA,1.1.43,TWGS,No,No,Wed Oct 04 00:03:33 2006,MANUAL
